session,order,segment,minutes,priority,delay_15_action,delay_30_action,completion_evidence
上午,1,開場與真實問題,15,MUST,維持,維持,一句話問題
上午,2,案例導航,10,SHOULD,縮為5分鐘,移至資源站自學,選定一個案例
上午,3,Gemini Notebook,35,MUST,減少延伸提問,只做理解與轉化各一題,筆記本+引用
上午,4,Gem,25,MUST,只測一個反例,提供模板直接改,Gem指令+測試
上午,5,休息,10,MUST,維持,維持,
上午,6,Canvas,35,MUST,減少美化,直接改起始站,互動原型+一次修正
上午,7,部署或分享,20,MUST,只選一種,只完成部署計畫,公開連結或計畫
上午,8,彈性迭代,20,BONUS,刪除,刪除,第二輪改良
上午,9,成果收束,10,MUST,維持,維持,四項成果盤點
下午,1,Agent觀念與權限,15,MUST,維持,維持,任務限制
下午,2,Antigravity/Codex實作,45,MUST,只主做一平台,以起始成果包縮小任務,修改+測試證據
下午,3,跨平台比較,10,SHOULD,口頭比較,刪除,比較矩陣
下午,4,休息,10,MUST,維持,維持,
下午,5,Agent Skill,35,MUST,使用產生器,使用完成骨架,SKILL.md
下午,6,Skill第二輪測試,10,BONUS,刪除,刪除,測試紀錄
下午,7,PIRLS資料分析,30,MUST,載入內建初編,只做品質+複核三筆,分析CSV
下午,8,證據打包,10,MUST,使用預填模板,講師示範下載,交接報告
下午,9,同儕回饋與收束,15,SHOULD,縮為5分鐘,只做個人勾選,30天行動
