student_id,group,Q1,Q2,Q3,Q4,Q5,Q6,CR1_response
S001,A,A,C,B,D,B,A,因為花園讓空地變漂亮，也讓原本不熟的居民一起種菜和聊天。
S002,A,A,C,B,C,B,A,大家可以一起種植物，所以社區的人更認識彼此。
S003,A,B,C,B,D,B,A,空地不再髒亂，大家也有地方一起活動。
S004,A,A,C,A,D,B,A,因為有很多花。
S005,A,A,B,B,D,C,A,居民一起照顧花園，還把收成分享給需要的人。
S006,A,A,C,B,D,B,B,風景變漂亮，社區也變得比較熱鬧。
S007,A,C,C,B,D,B,A,作者喜歡花園。
S008,A,A,C,B,D,A,A,
S009,A,A,C,B,D,B,A,除了改善環境，花園讓不同年齡的人合作並建立關係。
S010,B,A,C,B,D,B,A,大家把垃圾清掉，並且一起討論要種什麼和怎麼分工。
S011,B,A,C,D,D,B,A,它讓社區有新的地方。
S012,B,A,B,B,D,B,A,居民可以種菜，孩子也能學習植物知識。
S013,B,B,C,B,A,B,A,因為本來是空地，後來變花園。
S014,B,A,C,B,D,B,A,環境改善之外，居民共同維護花園，形成互助和分享。
S015,B,A,C,B,D,C,A,花園裡有菜和花，大家看了很開心。
S016,B,A,A,B,D,B,A,它讓人們一起工作，也把收成送給社區長者。
S017,B,A,C,B,D,B,A,風景更好，而且居民有共同目標，會互相幫忙。
S018,B,D,C,B,D,B,A,因為共享花園很重要。
